time,value
5.334452,5.619333
5.334452,5.687079
5.334452,5.599187
5.383508,5.639238
5.383508,5.589330
5.383508,5.556923
5.383508,5.572357
5.426502,5.487687
5.426502,5.495235
5.426502,5.441144
5.426502,5.406766
5.426502,5.457636
5.467018,5.375994
5.467018,5.426624
5.467018,5.407391
5.467018,5.395756
5.476455,5.478936
5.519074,5.397054
5.519074,5.402583
5.519074,5.477109
5.519074,5.394842
5.519074,5.470954
5.519074,5.459030
5.520067,5.435374
5.520067,5.486244
5.520067,5.407391
5.559744,5.461723
5.560744,5.443837
5.560744,5.416046
5.569974,5.466964
5.569974,5.387149
5.592104,5.431865
5.592104,5.407824
5.609169,5.378687
5.609169,5.434317
5.609169,5.349261
5.609169,5.409795
5.609169,5.378927
5.620774,5.333683
5.622432,5.379648
5.666682,5.355993
5.666682,5.331279
5.666682,5.387582
5.666682,5.313297
5.666682,5.378446
5.708041,5.354598
5.708041,5.356185
5.708041,5.412055
5.708041,5.322047
5.733196,5.380899
5.733196,5.378158
5.761794,5.346040
5.761794,5.411670
5.761794,5.340318
5.761794,5.393111
5.799494,5.379168
5.828075,5.363253
5.828075,5.419315
5.828075,5.342770
5.828075,5.409266
5.830077,5.423258
5.830077,5.351425
5.906374,5.421671
5.906374,5.391765
5.906374,5.394025
5.906374,5.463069
5.906374,5.378062
5.906374,5.454318
5.906374,5.413065
5.906374,5.390563
5.907376,5.452059
5.908376,5.381668
5.940698,5.433163
5.940698,5.408353
5.940698,5.394746
5.940698,5.452828
5.965363,5.373350
5.965363,5.456915
5.965363,5.410949
5.967352,5.404939
5.967352,5.464608
5.967352,5.409266
5.967352,5.391236
6.019307,5.450376
6.019307,5.360464
6.019307,5.425999
6.041744,5.413017
6.041744,5.384697
6.041744,5.437875
6.041744,5.360656
6.043257,5.424797
6.070578,5.408353
6.070578,5.394794
6.089297,5.465329
6.089297,5.394409
6.090292,5.535864
6.090292,5.526392
6.090292,5.494851
6.116446,5.628997
6.116446,5.542259
6.135544,5.524757
6.135544,5.415517
6.157592,5.375513
6.157592,5.417200
6.157592,5.393832
6.175653,5.375273
6.175653,5.446241
6.175653,5.379071
6.175653,5.447299
6.217969,5.383976
6.217969,5.132560
6.217969,5.361810
6.217969,6.844391
6.263651,9.198537
6.263651,9.048764
6.263651,6.090479
6.263651,5.479513
6.263651,5.551106
6.263651,5.637940
6.263651,5.522545
6.295948,5.507929
6.295948,5.564087
6.295948,5.495043
6.315819,5.572165
6.315819,5.584426
6.315819,5.505669
6.315819,5.576108
6.357245,5.552692
6.357245,5.546778
6.357245,5.618611
6.357245,5.542355
6.357245,5.619862
6.357245,5.595244
6.357245,5.584666
6.402399,5.630728
6.402399,5.543172
6.402399,5.621352
6.402399,5.587455
6.402399,5.561299
6.448478,5.605005
6.449478,5.496582
6.479230,5.539614
6.479230,5.513458
6.482241,5.516872
6.482241,5.591013
6.482241,5.550865
6.482241,5.557789
6.482241,5.637123
6.482241,5.543365
6.554576,5.606928
6.554576,5.558318
6.554576,5.541393
6.554576,5.579233
6.582281,5.481773
6.582281,5.540432
6.582281,5.485235
6.582281,5.497014
6.582281,5.551827
6.606043,5.464704
6.606043,5.542259
6.607074,5.507688
6.607074,5.492735
6.607074,5.549663
6.607074,5.469512
6.607074,5.551106
6.650437,5.497255
6.650437,5.467925
6.650437,5.538605
6.650437,5.498553
6.690582,5.490620
6.690582,5.540095
6.690582,5.446289
6.690582,5.512929
6.690582,5.468743
6.690582,5.473310
6.690582,5.507929
6.732720,5.435374
6.732720,5.496678
